Image_Name,Fidelity_Score
007360_0_black.jpg,0.09418671961492708
006270_4_southeast asian.jpg,0.09487555828981065
009308_3_middle eastern.jpg,0.09590188381097176
005359_6_white.jpg,0.0961081146596281
004144_4_southeast asian.jpg,0.09657685483742617
001326_6_white.jpg,0.09662976220592445
004714_0_black.jpg,0.09681001319424443
001025_2_latino.jpg,0.09682711682927292
003383_4_southeast asian.jpg,0.09685709233706885
004163_5_east asian.jpg,0.09747729784637005
005448_3_middle eastern.jpg,0.09776289738806443
004076_0_black.jpg,0.09839094123548886
001923_4_southeast asian.jpg,0.09848446963868507
007661_6_white.jpg,0.09910704282495031
005331_3_middle eastern.jpg,0.09918744599529927
007358_0_black.jpg,0.09935101238079413
002554_6_white.jpg,0.09951407177522342
009089_6_white.jpg,0.09951454389021674
004589_2_latino.jpg,0.09961176911663006
007240_5_east asian.jpg,0.10029329542913601
003582_4_southeast asian.jpg,0.10070056128222005
000086_0_black.jpg,0.10084185493836184
004454_0_black.jpg,0.10089220008416144
003383_5_east asian.jpg,0.10111894349302397
003383_3_middle eastern.jpg,0.10156189859511788
006851_3_middle eastern.jpg,0.10179470623881848
005781_5_east asian.jpg,0.10192942087497414
008652_0_black.jpg,0.10193804256310246
005004_3_middle eastern.jpg,0.10233411247821955
001326_4_southeast asian.jpg,0.10307337574362263
008039_2_latino.jpg,0.1036424847254569
008080_6_white.jpg,0.10367480692675812
006569_3_middle eastern.jpg,0.10445574049868966
003476_5_east asian.jpg,0.10467397445227444
001441_3_middle eastern.jpg,0.10518468362347
009201_0_black.jpg,0.10613319257306819
005781_6_white.jpg,0.10673737620616697
004282_1_indian.jpg,0.10686033261047845
000729_5_east asian.jpg,0.10700023573853801
005196_3_middle eastern.jpg,0.10734577220790253
008698_5_east asian.jpg,0.10751995942700976
001025_5_east asian.jpg,0.10821423683830877
009283_4_southeast asian.jpg,0.10842954540147942
009793_5_east asian.jpg,0.10848669161914093
007186_3_middle eastern.jpg,0.10868760578219328
004312_4_southeast asian.jpg,0.10890873264360867
003651_6_white.jpg,0.10904479403030587
007206_0_black.jpg,0.10916847373117666
008989_0_black.jpg,0.10926265453819162
006491_2_latino.jpg,0.10938546454122955
009274_4_southeast asian.jpg,0.11015731829274755
001297_0_black.jpg,0.11020370675416746
004955_6_white.jpg,0.11077134010227074
005681_5_east asian.jpg,0.1114395212620809
004312_5_east asian.jpg,0.1116717255334283
006122_4_southeast asian.jpg,0.11189277376887041
003383_1_indian.jpg,0.11191438455666347
002544_2_latino.jpg,0.11195132767364702
001923_3_middle eastern.jpg,0.11276848974313403
006112_0_black.jpg,0.11391664309813243
003002_5_east asian.jpg,0.11427871410087209
006486_4_southeast asian.jpg,0.11442907132709279
001390_0_black.jpg,0.11486436787382814
004076_4_southeast asian.jpg,0.11494224250645013
003028_2_latino.jpg,0.11509303726463083
005681_2_latino.jpg,0.11524574794364106
006569_5_east asian.jpg,0.11540601036946341
002497_2_latino.jpg,0.11557618582483631
005359_1_indian.jpg,0.11614117019863168
001923_2_latino.jpg,0.11616244618101512
004780_5_east asian.jpg,0.11637975693516611
004188_0_black.jpg,0.11638573466099444
006590_5_east asian.jpg,0.11646108268195521
004803_0_black.jpg,0.11648713912486008
007338_0_black.jpg,0.11701180077007711
001900_0_black.jpg,0.1176960732487069
000962_5_east asian.jpg,0.11776116066623477
007115_6_white.jpg,0.11818724075209852
005781_1_indian.jpg,0.11820312877244521
006569_1_indian.jpg,0.11973888621747752
008518_2_latino.jpg,0.12058804044350668
007240_0_black.jpg,0.12086590043894208
004351_5_east asian.jpg,0.12156483261749762
006553_2_latino.jpg,0.12164224942982016
005816_4_southeast asian.jpg,0.12168462741208774
